Hidden Units,Optimizer,Learning Rate,Batch Size,Accuracy,Recall,Precision,ROC,F1 Score
"(8, 4)",sgd,0.001,16,77.3,59.2,31.5,0.696,41.1
"(8, 4)",sgd,0.001,32,78.9,57.1,33.3,0.697,42.1
"(8, 4)",sgd,0.0001,8,82.7,22.4,30.6,0.573,25.9
"(8, 4)",sgd,0.0001,16,83.0,0.0,0.0,0.479,0.0
"(8, 4)",sgd,0.0001,32,85.8,0.0,0.0,0.495,0.0
"(8, 4)",adam,0.001,8,80.8,53.1,35.6,0.691,42.6
"(8, 4)",adam,0.001,16,79.2,42.9,30.4,0.638,35.6
"(8, 4)",adam,0.001,32,79.2,40.8,29.9,0.63,34.5
"(8, 4)",adam,0.0001,8,84.1,59.2,43.3,0.736,50.0
"(8, 4)",adam,0.0001,16,84.4,57.1,43.8,0.729,49.6
"(8, 4)",adam,0.0001,32,83.8,61.2,42.9,0.743,50.4
"(4, 2)",sgd,0.001,8,86.6,0.0,0.0,0.5,0.0
"(4, 2)",sgd,0.001,16,86.6,0.0,0.0,0.5,0.0
"(4, 2)",sgd,0.001,32,86.3,0.0,0.0,0.498,0.0
"(4, 2)",sgd,0.0001,8,86.3,0.0,0.0,0.498,0.0
"(4, 2)",sgd,0.0001,16,86.3,0.0,0.0,0.498,0.0
"(4, 2)",sgd,0.0001,32,86.3,0.0,0.0,0.498,0.0
"(4, 2)",adam,0.001,8,70.7,67.3,26.6,0.693,38.2
"(4, 2)",adam,0.001,16,71.8,67.3,27.5,0.699,39.1
"(4, 2)",adam,0.001,32,68.5,65.3,24.6,0.671,35.8
"(4, 2)",adam,0.0001,8,76.7,63.3,31.6,0.71,42.2
"(4, 2)",adam,0.0001,16,82.7,65.3,41.0,0.754,50.4
"(4, 2)",adam,0.0001,32,82.2,61.2,39.5,0.733,48.0
"(128, 64, 32)",sgd,0.001,8,83.0,38.8,37.3,0.643,38.0
"(128, 64, 32)",sgd,0.001,16,81.1,36.7,32.1,0.624,34.3
"(128, 64, 32)",sgd,0.001,32,82.2,44.9,36.7,0.664,40.4
"(128, 64, 32)",sgd,0.0001,8,80.5,59.2,36.2,0.715,45.0
"(128, 64, 32)",sgd,0.0001,16,76.2,59.2,30.2,0.69,40.0
"(128, 64, 32)",sgd,0.0001,32,81.9,38.8,34.5,0.637,36.5
"(128, 64, 32)",adam,0.001,8,84.7,34.7,41.5,0.635,37.8
"(128, 64, 32)",adam,0.001,16,84.7,34.7,41.5,0.635,37.8
"(128, 64, 32)",adam,0.001,32,86.0,38.8,47.5,0.661,42.7
"(128, 64, 32)",adam,0.0001,8,83.6,40.8,39.2,0.655,40.0
"(128, 64, 32)",adam,0.0001,16,83.6,38.8,38.8,0.646,38.8
